location,Basilea,Basilea,Basilea,Basilea
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basilea Temperature [2 m elevation corrected],Basilea Relative Humidity [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m]
20210827T1600,19.63053,50.0,20.5484,356.98724
20210827T1700,19.930529,47.0,20.16,360.0
20210827T1800,19.88053,47.0,18.806337,5.492325
20210827T1900,19.270529,50.0,17.015474,6.0724487
20210827T2000,18.170528,54.0,13.441071,7.6960297
20210827T2100,16.280529,62.0,12.181625,18.970398
20210827T2200,15.140529,66.0,6.696387,36.25383
20210827T2300,14.280529,69.0,1.0182338,44.999985
20210828T0000,13.910529,72.0,1.8,180.0
20210828T0100,13.750529,72.0,1.835647,191.30994
20210828T0200,13.280529,74.0,1.8,233.1301
20210828T0300,12.540529,79.0,2.9024127,240.25513
20210828T0400,11.810529,82.0,5.0142193,248.9625
20210828T0500,10.990529,85.0,5.0911684,261.8699
20210828T0600,10.590529,89.0,5.154415,245.22485
20210828T0700,10.750529,88.0,2.4149535,243.43495
20210828T0800,11.520529,83.0,2.0991426,329.03625
20210828T0900,12.340529,80.0,2.8116899,320.19443
20210828T1000,14.020529,73.0,5.904439,322.43143
20210828T1100,16.010529,66.0,10.464797,333.43497
20210828T1200,17.31053,62.0,14.003029,342.03088
20210828T1300,17.270529,61.0,14.799459,341.56506
20210828T1400,17.860529,58.0,16.62249,342.34988
20210828T1500,18.690529,56.0,19.9954,346.46417
20210828T1600,18.690529,56.0,19.493261,355.7636
20210828T1700,18.80053,56.0,19.134262,355.684
20210828T1800,18.530529,58.0,17.731598,354.17365
20210828T1900,18.07053,59.0,17.106628,351.52887
20210828T2000,17.15053,64.0,13.358861,345.96375
20210828T2100,16.260529,68.0,9.449572,342.25534
20210828T2200,15.690529,71.0,6.6087217,330.64227
20210828T2300,15.400529,71.0,5.6002855,315.0
20210829T0000,15.230529,71.0,4.3349743,311.63354
20210829T0100,14.840529,74.0,4.8433046,318.01282
20210829T0200,14.470529,77.0,4.0249224,333.43497
20210829T0300,13.720529,81.0,3.396233,212.00539
20210829T0400,13.340529,82.0,3.2599385,186.3402
20210829T0500,12.940529,82.0,4.1046314,232.12502
20210829T0600,12.110529,83.0,5.4833565,246.8014
20210829T0700,11.260529,85.0,5.1165614,230.7106
20210829T0800,12.070529,82.0,3.671294,258.69006
20210829T0900,13.710529,77.0,5.815978,291.8014
20210829T1000,15.230529,73.0,6.763786,295.2011
20210829T1100,15.600529,73.0,10.182337,315.0
20210829T1200,16.430529,70.0,13.551501,320.38934
20210829T1300,18.000528,63.0,12.783802,327.6526
20210829T1400,19.160528,59.0,13.1041975,339.0755
20210829T1500,18.88053,61.0,11.27553,343.30075
20210829T1600,18.32053,64.0,14.417988,357.13757
20210829T1700,18.23053,64.0,13.32,360.0
20210829T1800,18.64053,60.0,15.4800005,360.0
20210829T1900,17.860529,63.0,13.679999,360.0
20210829T2000,17.20053,66.0,8.12197,347.19574
20210829T2100,16.770529,68.0,4.6938257,327.5288
20210829T2200,16.57053,69.0,4.1046314,285.25513
20210829T2300,16.240528,73.0,3.319036,310.60132
20210830T0000,16.020529,75.0,1.835647,281.30994
20210830T0100,15.440529,79.0,6.489992,356.8202
20210830T0200,14.5505295,85.0,8.089993,339.14557
20210830T0300,13.460529,90.0,2.0991426,210.96376
20210830T0400,12.830529,91.0,4.829907,206.56505
20210830T0500,12.340529,89.0,6.4096174,218.15723
20210830T0600,12.560529,85.0,3.8268526,221.18593
20210830T0700,12.620529,85.0,2.8116899,230.19443
20210830T0800,13.840529,82.0,3.671294,281.30994
20210830T0900,15.350529,78.0,5.495161,301.6075
20210830T1000,16.57053,73.0,6.1305785,319.76367
20210830T1100,17.97053,68.0,10.495713,337.83365
20210830T1200,18.14053,67.0,13.397612,353.82983
20210830T1300,19.55053,62.0,14.264361,349.8245
20210830T1400,19.89053,61.0,16.808569,350.13422
20210830T1500,19.65053,63.0,17.771753,353.01892
20210830T1600,19.500528,63.0,17.698677,355.33313
20210830T1700,19.180529,65.0,17.339897,355.23636
20210830T1800,19.080528,65.0,16.263872,354.9204
20210830T1900,18.71053,66.0,15.124284,358.63608
20210830T2000,17.96053,68.0,11.879999,360.0
20210830T2100,16.95053,72.0,10.08,360.0
20210830T2200,16.14053,75.0,8.647496,357.61407
20210830T2300,15.930529,76.0,8.28,360.0
